_id,SYS_ID,APPLICATION_TYPE,IN_DATE,PLANNING_DISTRICT,WARD,STREET_NUM,STREET_NAME,STREET_TYPE,STREET_DIRECTION,POSTAL,REFERENCE_FILE,SUB_TYPE,WORK_TYPE,ZONING_REVIEW,ZONING_DESIGNATION,COMMUNITY,EMPLOYMENT_DISTRICT,DESCRIPTION,HEARING_DATE,TIME_OF_MEETING,MEETING_LOCATION,C_OF_A_DESCISION,ANYONE_OBJECT_AT_MEETING,APPEAL_EXPIRY_DATE,OMB_ORDER_DATE,OMB_DESCISION,NUMBER_OF_LOTS_CREATED,CONDITION_EXPIRY_DATE,STATUSDESC
1865370,3381486,MV,2013-06-21,North York,15,262,BESSBOROUGH,DR, ,M4G,A473/13NY,New Res dwellings <= 3 units,New R Building,Waiver,R1B (waiver),East York,NA,To construct a new two-storey dwelling with a detached garage.,"Jan 8, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Jan 28, 2014",NA,NA,NA,NA,OMB Appeal
1865371,3393742,CO,2013-07-12,North York,15,44,PARK LANE,CRCL, ,M3C,B043/13NY,NA,Sever Lot,Waiver,RA / RD (f60.0; a8000) (x893),North York,NA,"To obtain consent to sever the property into two residential lots. Please be advised that this application was previously Deferred on September 11, 2013 by the Committee, at the request of the applicant and area residents in order to meet and discuss their concerns. ","Aug 20, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,"Sep 17, 2014",NA,NA,1,NA,Tentatively Scheduled
1865372,3393758,MV,2013-07-12,North York,15,44,PARK LANE,CRCL, ,M3C,A519/13NY,New Res dwellings <= 3 units,New R Building,Waiver,RA / RD (f60.0; a8000) (x893) [WAIVER],North York,NA,To legalize the new residential undersized lot. ,"Aug 20, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,"Sep 9, 2014",NA,NA,NA,NA,Tentatively Scheduled
1865373,3396469,MV,2013-07-17,North York,18,45,BEVDALE,RD, ,M2R,A529/13NY,New Res dwellings <= 3 units,New R Building,Preliminary Project Review,R4 [ZZC],North York,NA,"To construct a new two-storey dwelling with an integral, at-grade, two car garage.  The existing dwelling would be demolished.","Aug 28, 2013",11:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Sep 17, 2013",NA,NA,NA,NA,OMB Appeal
1865374,3440889,MV,2013-10-03,Scarborough,25,260,BEECHGROVE,DR, ,M1E,A242/13SC,New Res dwellings <= 3 units,New R Building,Waiver,Single Family Residential (S) & Residential Detached (RD) Zone,West Hill Community,NA,"This application is for consent to sever the land into three residential lots, shown as Parts 1, 2 and 3 on the attached Lot Division Plan. Part 1 would have a frontage of 17.9 m on Lawrence Ave E. and a lot area of 416 m2. Part 2 would have a frontage of 12 m on Beechgrove Drive and a lot area of 482 m2. Part 3 would have frontage on Beechgrove Drive and Lawrence Avenue E., and a lot area of 415 m2. [The Committee of Adjustment approved an application to sever this property into three lots in August, 2010, however, the owners did not fulfill the conditions of consent within one year and the the consent lapsed. The owners have revised their proposal and submitted these new applications.]",NA,NA,NA,Deferred,NA,"Feb 12, 2014",NA,NA,NA,NA,Deferred
1865375,3450215,MV,2013-10-21,North York,18,206,PARK HOME,AVE, ,M2R,A737/13NY,Add/Alt to Existing Res <= 3 units,R Addition,Preliminary Project Review,RD (f15.0; a550) / R4 [ZZC],North York,NA,To construct a new one-storey addition to the rear and west side of the existing one-storey detached dwelling.,"Nov 20, 2013",3:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Approved,NA,"Dec 10, 2013",NA,NA,NA,NA,OMB Appeal
1865376,3451338,CO,2013-10-22,North York,15,28,HEDGEWOOD,RD, ,M2L,B059/13NY,NA,Sever Lot,Preliminary Project Review,R3 and RD,North York,NA,To obtain consent to sever the property into two residential lots. ,"Mar 19, 2014",3:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Apr 16, 2014","Oct 24, 2014",OMB Approved,1,"Oct 24, 2015",Conditional Consent
1865377,3451781,CO,2013-10-23,North York,15,29,DONWOODS,DR, ,M4N,B060/13NY,NA,Sever Lot,Waiver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865378,3451793,MV,2013-10-23,North York,15,29,DONWOODS,DR, ,M4N,A747/13NY,New Res dwellings <= 3 units,New R Building,Waiver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865379,3451798,MV,2013-10-23,North York,15,29,DONWOODS,DR, ,M4N,A748/13NY,New Res dwellings <= 3 units,New R Building,Waiver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865380,3454310,CO,2013-10-28,North York,08,485,RIDELLE,AVE, ,M6B,B061/13NY,NA,Sever Lot,Waiver,R2 / RM (f12.0; u2; d0.8) (x252) [WAIVER],York,NA,"To obtain consent to sever the property into two undersized lots. Please note, this application was deferred February 19, 2014 at the request of the applicant in order for the agent for the owners to be present.","Apr 3, 2014",3:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"May 1, 2014",NA,NA,1,NA,OMB Appeal
1865381,3459417,CO,2013-11-06,North York,15,6,BAYTREE,CRES, ,M2L,B065/13NY,NA,Sever Lot,Waiver,NA,NA,NA,"Appeal Received - August 25, 2015
Appeal Reason: Failure to Make a Decision
Appeal sent to OMB - Sept. 25, 2015
OMB Case Planner Leesa Kwong 416-326-6785
Appeal withdrawn.  Appeal was not sent to OMB","Jan 1, 2013",NA,NA,Deferred,NA,NA,"Sep 13, 2013",NA,2,NA,Hearing Scheduled
1865382,3503780,CO,2014-02-11,North York,16,16,LESMILL,RD, ,M3B,B008/14NY,NA,Create New Easement/ROW,Waiver,MC(104),North York,NA,"To obtain consent to create an easement/right-of-way for the purpose of vehicular and pedestrian access over part of those lands municipally known as 16 Lesmill Road, described as Parts 2, 3 and 4, Plan 66R-27144, in favour of the lands to the north municipally known as 20 Lesmill Road.","Apr 30, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865383,3511685,CO,2014-02-27,North York,18,109,POYNTZ,AVE, ,M2N,B015/14NY,NA,Sever Lot,Waiver,R6/RD (waiver),North York,NA,To obtain consent to sever the property into two undersized residential lots.,"Jun 11, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Jul 9, 2014",NA,NA,2,NA,Refused
1865384,3513782,CO,2014-03-04,Scarborough,23,2201,MARKHAM,RD, ,M1B,B010/14SC,NA,Create New Easement/ROW,Waiver,NA,NA,Marshalling Yard Employment District,new easement for sewers and sanitary and new right of way ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865385,3524145,MV,2014-03-25,North York,06,32,DANBY,AVE, ,M3H,A228/14NY,New Res dwellings <= 3 units,New R Building,Preliminary Project Review,R4/RD (f15.0; a550) (x5) [ZZC],North York,NA,"To construct a new two-storey dwelling with an integral, at-grade garage.  The existing dwelling would be demolished.","Jun 11, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Jul 2, 2014",NA,NA,NA,NA,OMB Appeal
1865386,3524156,MV,2014-03-25,North York,06,32,DANBY,AVE, ,M3H,A229/14NY,New Res dwellings <= 3 units,New R Building,Preliminary Project Review,R4/RD (f15.0; a550) (x5) [ZZC],North York,NA,"To construct a new two-storey dwelling with an integral, at-grade garage.  The existing dwelling would be demolished.","Jun 11, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Jul 2, 2014",NA,NA,NA,NA,OMB Appeal
1865387,3524167,MV,2014-03-25,North York,06,34,DANBY,AVE, ,M3H,A230/14NY,New Res dwellings <= 3 units,New R Building,Preliminary Project Review,R4/RD (f15.0; a550) (x5) [ZZC],North York,NA,"To construct a new two-storey dwelling with an integral, at-grade garage.  The existing dwelling would be demolished.","Jun 11, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Jul 2, 2014",NA,NA,NA,NA,OMB Appeal
1865388,3525268,MV,2014-03-27,North York,15,189,BANFF,RD, ,M4P,A243/14NY,Add/Alt to Existing Res <= 3 units,Other,Preliminary Project Review,R7 / RD (f9.0; a275) [BLD],North York,NA,To construct a new deck at the rear of the detached dwelling. ,"May 14, 2014",9:30 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,"Jun 3, 2014",NA,NA,NA,NA,Tentatively Scheduled
1865389,3533489,MV,2014-04-11,Etobicoke York,02,67,DECARIE,CRCL, ,M9B,A228/14EYK,Add/Alt to Existing Res <= 3 units,R Addition,Waiver,RD & R2 (Waiver),NA,NA,To construct a rear one-storey addition.,"Jun 26, 2014",1:00 p.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Approved,NA,"Jul 16, 2014",NA,NA,NA,NA,Approved with Conditions
1865390,3536019,MV,2014-04-16,North York,08,178,CARIBOU,RD, ,M5N,A295/14NY,New Res dwellings <= 3 units,New R Building,Waiver,R4/RD (f15.0; a550) (x5) [WAV],North York,NA,"To construct a new three-storey dwelling, with an integral, at-grade two car garage.  The existing dwelling would be demolished.","Jun 25, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Refused,NA,"Jul 15, 2014",NA,NA,NA,NA,OMB Appeal
1865391,3538604,CO,2014-04-23,Etobicoke York,03,420,VALERMO,DR, ,M8W,B29/14EYK,NA,Sever Lot,Preliminary Project Review,RM & R3 (ZR),NA,NA,To obtain consent to sever the property into two undersized residential lots.,"Aug 21, 2014",1:00 p.m.,"Council Chamber, Etobicoke Civic Centre, 399 The West Mall, M9C 2Y2",Approved,NA,"Sep 18, 2014",NA,NA,1,NA,Approved with Conditions
1865392,3541399,MV,2014-04-28,Toronto East York,11,614,MANNING,AVE, ,M6G,A0423/14TEY,AddAlt to Res <= 3 units with OTC,R Addition,Waiver,R (d0.6) (x735) & R2 Z0.6 (Waiver),Toronto,NA,"To legalize and maintain the existing coach house at the rear of the existing 2½-storey semi-detached dwelling. Also, to convert a portion of the coach house into a two-car garage, with access to the rear lane way.","Oct 9, 2014",1:30 p.m.,"Committee Room 2, Second Floor, Toronto City Hall, 100 Queen St W, M5H 2N2",Refused,No,"Oct 29, 2014",NA,Dismissed ,NA,NA,OMB Appeal
1865393,3546643,MV,2014-05-07,North York,18,63,NORTON,AVE, ,M2N,A365/14NY,New Res dwellings <= 3 units,New R Building,Waiver,R4/RD (f15.0; a550) (x5) [WAV],North York,NA,"To construct a new two-storey dwelling with an integral, at-grade, two car garage.  The existing dwelling would be demolished.  Please note, a previous application (File # 854/12NY) with respect to the subject property was APPROVED on condition, by the Committee of Adjustment on Wednesday, January 9, 2012.","Jun 25, 2014",2:00 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865394,3547525,MV,2014-05-08,Etobicoke York,07,4700,KEELE,ST, ,M3J,A370/14NY,All Other,Other,Waiver,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865395,3548530,MV,2014-05-09,North York,08,398,ST CLEMENTS,AVE, ,M5N,A382/14NY,Add/Alt to Existing Res <= 3 units,R Addition,Preliminary Project Review,RD (f9.0;d0.6)(x1406) / R1 Z0.6 [WAIVER],Toronto,NA,"To construct a third storey addition above the existing two-storey detached dwelling, a two-storey rear addition and a two-storey addition to the west portion of the existing dwelling. The applicant is also proposing to construct a chimney on the east side of the existing dwelling, along with a new front porch in conjunction with other interior and exterior alterations. The existing deck would be demolished.","Jun 25, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,"Jul 15, 2014",NA,NA,NA,NA,Tentatively Scheduled
1865396,3549231,MV,2014-05-12,North York,08,9,CRESTON,RD, ,M6A,A384/14NY,Add/Alt to Existing Res <= 3 units,R Addition,Preliminary Project Review,RD (f15.0; a550) (x5) / R5 [ZZC],North York,NA,"To construct a second storey addition above the existing one and a half storey detached dwelling, along with a two-storey addition (including integral garage) to the west and rear portions of the existing dwelling.","Jun 25, 2014",10:00 a.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",Deferred,NA,"Jul 15, 2014",NA,NA,NA,NA,Tentatively Scheduled
1865397,3555416,MV,2014-05-23,Unknown,NA,NA,NA, , ,   ,A430/14NY,Add/Alt to Existing Res <= 3 units,R Addition,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Application Received
1865398,3556430,MV,2014-05-26,North York,08,12,MARQUETTE,AVE, ,M6A,A437/14NY,All Other,Other,Waiver,RM5/RM (d1.0)(x474)[WAIVER],North York,NA,"To permit a sales office in an existing dwelling. Please be advised the application was DEFERRED SINE DIE on September 4, 2014, until issues have been resolved for the zoning by-law amendment application, as requested by Planning Staff.","Oct 22, 2014",3:30 p.m.,"Council Chamber, North York Civic Centre, 5100 Yonge St., M2N 5V7",NA,NA,NA,NA,NA,NA,NA,Tentatively Scheduled
1865399,3558860,MV,2014-05-28,Toronto East York,11,241,BEVERLEY,ST, ,M5T,A0533/14TEY,All Other,Other,Waiver,R(f4.5; d1.0)(x835) & R3 Z1.0 (Waiver),Toronto,NA,"To alter the existing three-storey converted building containing three dwelling units by constructing a front basement walkout, and converting the basement into a fourth dwelling unit.","Oct 22, 2014",4:30 p.m.,"Committee Room 2, Second Floor, Toronto City Hall, 100 Queen St W, M5H 2N2",Refused,Yes,"Nov 12, 2014",NA,NA,NA,NA,OMB Appeal
